tan_thr,gap_thr,mol_i,mol_j,tanimoto,max_delta_p,target_max_delta,sign
0.75,0.5,16,20,0.7567567567567568,0.6991525423728814,CHEMBL4158,1.0
0.75,0.4,16,20,0.7567567567567568,0.6991525423728814,CHEMBL4158,1.0
0.75,0.3,16,20,0.7567567567567568,0.6991525423728814,CHEMBL4158,1.0
0.75,0.5,20,21,0.75,0.6393807994336653,CHEMBL4158,-1.0
0.75,0.4,20,21,0.75,0.6393807994336653,CHEMBL4158,-1.0
0.75,0.3,20,21,0.75,0.6393807994336653,CHEMBL4158,-1.0
0.75,0.5,14,25,0.7777777777777778,0.520198869868652,CHEMBL2083,-1.0
0.75,0.4,14,25,0.7777777777777778,0.520198869868652,CHEMBL2083,-1.0
0.75,0.3,14,25,0.7777777777777778,0.520198869868652,CHEMBL2083,-1.0
0.85,0.4,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.85,0.3,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.8,0.4,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.8,0.3,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.75,0.4,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.75,0.3,3,4,0.8703703703703703,0.4930686121686719,CHEMBL5080,-1.0
0.75,0.3,16,21,0.7837837837837838,0.34219167771125353,CHEMBL2083,1.0
