i,j,sim
30,34,0.03571428571428571
30,31,0.03333333333333333
31,34,0.03225806451612903
30,35,0.03125
34,35,0.030303030303030304
31,35,0.02857142857142857
12,30,0.027777777777777776
17,30,0.02702702702702703
12,34,0.02702702702702703
30,32,0.02702702702702703
32,34,0.02631578947368421
17,34,0.02631578947368421
28,30,0.02631578947368421
23,30,0.02631578947368421
10,30,0.02631578947368421
23,34,0.02564102564102564
12,31,0.02564102564102564
10,34,0.02564102564102564
28,34,0.02564102564102564
17,31,0.025
31,32,0.025
30,33,0.025
10,31,0.024390243902439025
12,35,0.024390243902439025
33,34,0.024390243902439025
